Barcode,Genotype,Assay Date,Experimenter,Flow Cytometer,Total Events (RBC),NCE,RETs_CD71postive,Per_RETs,Mn-RET,Mn_NCE,Per_MN-NCE
M00309419,Stx8/Stx8,2009-11-09,RM,FC500,1.68E+05,1.55E+05,12798,8.27,53,353,0.23
M00293125,Zfp367/Zfp367,2009-11-09,RM,FC500,1.72E+05,1.66E+05,5378,3.23,22,151,0.09
M00293124,Zfp367/Zfp367,2009-11-09,RM,FC500,1.44E+05,1.41E+05,2522,1.79,26,166,0.12
M00293122,Zfp367/Zfp367,2009-11-09,RM,FC500,1.65E+05,1.60E+05,4170,2.6,18,207,0.13
M00293123,Zfp367/Zfp367,2009-11-09,RM,FC500,1.65E+05,1.60E+05,5331,3.34,27,248,0.16
M00307815,Zfp367/Zfp367,2009-11-09,RM,FC500,1.58E+05,1.53E+05,4557,2.98,24,243,0.16
M00307816,Zfp367/Zfp367,2009-11-09,RM,FC500,1.50E+05,1.44E+05,5499,3.82,32,235,0.16
M00307814,Zfp367/Zfp367,2009-11-09,RM,FC500,1.68E+05,1.62E+05,5844,3.61,24,323,0.2
M00285200,+/+,2009-11-11,RV,FC500,1.68E+05,1.64E+05,3783,2.3,17,290,0.18
M00285202,+/+,2009-11-11,RV,FC500,1.68E+05,1.65E+05,3306,2.01,21,416,0.25
M00285218,+/+,2009-11-11,RV,FC500,1.65E+05,1.61E+05,3364,2.09,31,355,0.22
M00285219,+/+,2009-11-11,RV,FC500,1.70E+05,1.66E+05,4484,2.71,48,377,0.23
M00310893,+/+,2009-11-11,RV,FC500,1.58E+05,1.55E+05,3247,2.1,14,269,0.17
M00310894,+/+,2009-11-11,RV,FC500,1.67E+05,1.64E+05,3451,2.11,25,281,0.17
M00310895,+/+,2009-11-11,RV,FC500,1.60E+05,1.56E+05,3037,1.94,18,229,0.15
M00310899,+/+,2009-11-11,RV,FC500,1.46E+05,1.42E+05,4008,2.82,34,259,0.18
M00301932,+/+,2009-11-11,RV,FC500,1.66E+05,1.61E+05,3789,2.35,17,302,0.19
M00287178,+/+,2009-11-11,RV,FC500,1.63E+05,1.59E+05,3479,2.19,14,335,0.21
M00306315,+/+,2009-11-11,RV,FC500,1.65E+05,1.61E+05,3432,2.13,25,292,0.18
M00306333,+/+,2009-11-11,RV,FC500,1.64E+05,1.61E+05,2158,1.34,16,241,0.15
M00309481,+/+,2009-11-11,RV,FC500,1.64E+05,1.61E+05,2523,1.57,20,329,0.2
M00309494,+/+,2009-11-11,RV,FC500,1.65E+05,1.62E+05,2486,1.53,12,281,0.17
M00300733,Nf1/+,2009-11-11,RV,FC500,1.73E+05,1.66E+05,6821,4.1,40,350,0.21
M00300735,Nf1/+,2009-11-11,RV,FC500,1.24E+05,1.22E+05,1545,1.27,12,272,0.22
M00300734,Nf1/+,2009-11-11,RV,FC500,1.70E+05,1.63E+05,6500,3.99,54,415,0.25
M00295163,Nf1/+,2009-11-11,RV,FC500,1.66E+05,1.61E+05,4188,2.6,39,418,0.26
M00294283,Nfkb1/Nfkb1,2009-11-11,RV,FC500,1.75E+05,1.68E+05,6210,3.69,30,322,0.19
M00294284,Nfkb1/Nfkb1,2009-11-11,RV,FC500,1.75E+05,1.66E+05,7992,4.81,47,322,0.19
M00294282,Nfkb1/Nfkb1,2009-11-11,RV,FC500,1.74E+05,1.61E+05,12829,7.98,61,415,0.26
M00294281,Nfkb1/Nfkb1,2009-11-11,RV,FC500,1.71E+05,1.66E+05,4941,2.98,50,454,0.27
M00303391,Ppp5c/Ppp5c,2009-11-11,RV,FC500,1.66E+05,1.60E+05,5407,3.38,76,357,0.22
